plant_code,plant_name,latitude,longitude,city,state
229,Cow Creek,40.570817,-122.02093,Millville,CA
231,Cresta,39.825907,-121.409687,Storrie,CA
232,De Sabla,39.869265,-121.631819,Magalia,CA
233,Deer Creek PH,39.29807,-120.8443,Nevada City,CA
235,Drum 1,39.256873,-120.767437,Alta,CA
236,Drum 2,39.257388,-120.767046,Alta,CA
237,Dutch Flat,39.216985,-120.835587,Alta,CA
238,El Dorado,38.793574,-120.619152,Pollock Pines,CA
239,Electra,38.330985,-120.669901,Jackson,CA
240,Haas,36.927424,-119.02025,Balch Camp,CA
241,Halsey,38.956985,-121.041932,Auburn,CA
242,Hamilton Branch,40.268712,-121.089479,Penninsula Village,CA
243,Hat Creek 1,40.929297,-121.544462,Burney,CA
244,Hat Creek 2,40.960675,-121.548657,Burney,CA
246,Humboldt Bay,40.7415,-124.2103,Eureka,CA
247,Hunters Point,37.733611,-122.389722,San Francisco,CA
248,Inskip,40.400988,-121.965502,Manton,CA
249,James B Black,40.992295,-121.975182,Big Bend,CA
250,Kerckhoff,37.092486,-119.552826,Auberry,CA
253,Kilarc,40.677827,-121.873253,Whitmore,CA
254,Kings River PH,36.888166,-119.158777,Balch Camp,CA
255,Lime Saddle,39.698755,-121.57096,Oroville,CA
258,Merced Falls,37.52301,-120.329905,Snelling,CA
260,Dynegy Moss Landing Power Plant,36.804837,-121.782241,Moss Landing,CA
261,Murphys,38.147093,-120.446396,Murphys,CA
262,Narrows PH,39.2364,-121.271741,Grass Valley,CA
264,Phoenix,38.032103,-120.326537,Sonora,CA
265,Pit 1,40.99084,-121.498243,Burney,CA
266,Pit 3,40.997448,-121.748139,Burney,CA
267,Pit 4,40.986361,-121.84944,Big Bend,CA
268,Pit 5,40.986197,-121.977594,Big Bend,CA
269,Pit 6,40.922568,-121.992906,Montgomery Creek,CA
270,Pit 7,40.847462,-121.990798,Montgomery Creek,CA
271,Pittsburg Power,38.039168,-121.894469,Pittsburg,CA
272,Poe,39.722892,-121.469814,Storrie,CA
274,Potter Valley,39.361786,-123.127934,Potter Valley,CA
275,Rock Creek,39.90521,-121.345226,Storrie,CA
276,San Joaquin 2,37.203233,-119.497508,North Fork,CA
277,San Joaquin 3,37.253718,-119.519352,North Fork,CA
279,Salt Springs,38.497914,-120.21811,Pioneer,CA
280,South,40.395396,-121.879186,Manton,CA
281,Spaulding 1,39.324613,-120.644807,Emigrant Gap,CA
282,Spaulding 2,39.324592,-120.645375,Emigrant Gap,CA
